trial_id,task,stim_id,stim_onset_time,n_fixations,n_saccades,n_blinks
1,1_back,mst_120_A_l1.png,2989370,1,1,0
2,1_back,mst_063_A_l1.png,2991709,2,2,0
3,1_back,mst_075_A_l1.png,2994044,2,2,1
4,1_back,mst_021_A_l1.png,2996288,2,2,0
5,1_back,mst_021_B_l1.png,2998662,5,5,0
6,1_back,mst_275_A_l2.png,3000972,2,2,0
7,1_back,mst_003_A_l1.png,3003220,4,4,1
8,1_back,mst_238_A_l2.png,3005426,4,4,0
9,1_back,mst_023_A_l1.png,3007741,4,4,1
10,1_back,mst_223_A_foil.png,3010078,5,5,0
11,1_back,mst_223_A_foil.png,3012153,2,2,0
12,1_back,mst_305_A_l2.png,3014409,4,4,1
13,1_back,mst_305_B_l2.png,3016550,1,1,0
14,1_back,mst_280_A_l2.png,3018802,4,4,0
15,1_back,mst_280_B_l2.png,3021010,3,3,0
16,1_back,mst_400_A_foil.png,3023377,2,2,1
17,1_back,mst_400_A_foil.png,3025591,2,1,0
18,1_back,mst_338_A_l2.png,3028097,3,4,1
19,1_back,mst_332_A_l2.png,3030438,3,3,0
20,1_back,mst_306_A_l2.png,3032535,3,3,0
21,1_back,mst_306_B_l2.png,3034780,2,1,0
22,1_back,mst_237_A_l2.png,3036820,3,4,2
23,1_back,mst_237_B_l2.png,3039309,4,3,0
24,1_back,mst_317_A_l2.png,3041373,2,3,1
25,1_back,mst_332_B_l2.png,3043867,1,0,0
26,1_back,mst_201_A_l2.png,3046209,1,2,1
27,1_back,mst_201_B_l2.png,3048414,5,5,0
28,1_back,mst_275_B_l2.png,3050475,2,2,1
29,1_back,mst_194_A_foil.png,3052956,2,2,1
30,1_back,mst_194_A_foil.png,3055262,4,4,0
31,1_back,mst_148_A_l1.png,3057520,3,3,1
32,1_back,mst_148_B_l1.png,3059976,4,3,0
33,1_back,mst_653_A_foil.png,3062256,0,1,1
34,1_back,mst_653_A_foil.png,3064318,2,1,1
35,1_back,mst_304_A_l2.png,3066632,0,1,1
36,1_back,mst_304_B_l2.png,3069025,4,4,0
37,1_back,mst_052_A_foil.png,3071449,6,5,1
38,1_back,mst_052_A_foil.png,3073860,3,3,1
39,1_back,mst_069_A_l1.png,3076146,3,4,2
